coefficient,split,investor,feature,weight,parameter_type,parameter,mean,std,positive_rate,negative_rate,split_count,direction_consistency,context
beta,12,institution,underwater,-0.0002165814803447,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,12,retail,momentum,-0.0326127335429191,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,12,retail,herd,-0.0331358462572097,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,12,retail,underwater,0.0316661745309829,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,13,foreign,momentum,0.0560048893094062,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,13,foreign,herd,-0.0282446853816509,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,13,foreign,underwater,0.0137192513793706,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,13,institution,momentum,-6.799194670747966e-05,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,13,institution,herd,-0.0046067689545452,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,13,institution,underwater,-0.0001906239631352,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,13,retail,momentum,-0.0322562605142593,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,13,retail,herd,-0.0334460996091365,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,13,retail,underwater,0.027503028512001,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,14,foreign,momentum,0.0717425346374511,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,14,foreign,herd,-0.0382273495197296,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,14,foreign,underwater,0.0159546863287687,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,14,institution,momentum,-0.0001961526286322,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,14,institution,herd,-0.0045586796477437,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,14,institution,underwater,-0.0027811867184937,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,14,retail,momentum,-0.0326025746762752,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,14,retail,herd,-0.0335563719272613,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,14,retail,underwater,0.0306594539433717,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,15,foreign,momentum,0.074807196855545,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,15,foreign,herd,-0.0390895381569862,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,15,foreign,underwater,0.0204869676381349,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,15,institution,momentum,1.6868441889528185e-05,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,15,institution,herd,-0.0045844027772545,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,15,institution,underwater,-0.0011870315065607,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,15,retail,momentum,-0.0314720757305622,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,15,retail,herd,-0.0327364392578601,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,15,retail,underwater,0.0299696791917085,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,16,foreign,momentum,0.0667505040764808,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
